educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,27,2,1,1,1,0,1
3,33,5,1,1,1,1,1
1,33,2,1,1,1,1,0
2,57,3,1,1,2,0,1
2,19,4,2,1,1,1,1
1,65,1,2,2,2,0,0
2,70,5,1,1,1,0,1
2,59,5,1,1,2,0,1
2,25,2,1,2,1,1,1
2,53,4,1,1,1,1,1
2,57,5,1,1,1,1,0
2,27,3,1,1,1,0,0
2,41,4,1,1,1,1,1
2,33,5,1,1,1,1,1
2,24,3,1,1,1,0,1
3,41,5,1,1,1,1,1
2,28,3,1,1,1,1,1
2,20,1,1,2,2,0,0
3,32,5,1,1,1,1,1
2,21,4,1,1,1,0,1
2,18,5,1,1,1,1,0
1,34,3,1,1,1,1,0
2,17,3,2,1,1,0,1
2,24,3,1,1,1,1,0
2,30,4,1,1,1,1,0
2,68,5,1,1,1,1,0
2,60,2,2,1,1,1,1
2,60,4,2,1,2,1,1
1,43,2,1,1,1,1,0
2,59,5,2,2,1,0,0
2,47,4,1,1,1,1,0
2,21,4,1,1,1,1,0
3,25,3,2,1,1,1,0
2,18,5,1,1,1,1,0
3,38,5,1,1,1,1,1
2,23,1,1,1,1,1,0
2,29,4,1,1,1,1,1
1,62,4,1,1,2,0,1
2,42,1,1,1,1,0,0
3,32,5,1,1,1,1,1
2,65,1,1,1,2,0,0
1,50,4,1,1,2,0,1
2,23,5,2,1,1,1,1
1,74,4,1,1,2,1,1
2,19,5,1,1,1,1,0
2,36,5,1,2,2,0,1
2,45,2,1,1,1,0,1
2,35,3,1,1,1,1,0
1,68,3,1,1,2,0,1
2,42,3,1,1,1,1,0
1,48,1,1,1,2,1,1
1,45,2,1,1,2,1,1
2,21,4,1,1,1,1,0
1,55,2,1,2,1,1,0
2,37,4,1,1,1,0,1
2,29,3,1,1,1,1,1
2,63,5,1,1,1,0,1
2,28,3,1,1,3,1,1
3,52,5,1,1,1,1,0
1,67,4,1,1,1,1,0
3,37,5,1,1,1,1,1
1,62,1,1,1,1,0,1
3,49,5,1,1,1,1,1
2,16,4,1,1,1,0,0
3,31,5,1,1,1,1,1
2,47,5,1,1,1,1,1
2,55,5,1,1,1,1,1
1,27,1,1,1,2,0,1
2,16,1,2,1,1,0,0
2,18,2,2,1,1,0,0
3,82,5,1,1,2,1,1
2,64,5,2,1,1,1,1
2,43,3,1,1,1,1,1
2,62,3,2,1,2,1,0
3,31,4,1,1,1,0,0
2,34,5,1,1,1,1,1
2,21,5,1,1,1,1,0
2,22,5,1,1,1,1,1
2,63,4,1,1,1,1,1
2,21,5,1,1,1,1,0
2,46,1,1,1,2,1,0
3,23,4,1,1,1,1,0
3,24,5,1,1,1,1,1
