educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,38,2,2,1,1,0,0
2,32,3,1,1,2,1,1
1,57,4,2,1,1,0,0
2,41,5,1,1,1,1,0
2,22,1,2,1,1,0,0
2,27,4,1,1,2,1,1
2,59,3,2,2,2,1,0
2,40,2,1,1,1,1,1
2,17,2,2,1,1,0,0
2,21,2,1,1,1,1,1
1,42,1,1,1,2,0,1
1,72,1,2,1,2,0,0
2,27,2,1,1,2,0,1
2,19,5,1,1,1,1,1
2,45,1,1,1,2,0,0
2,61,4,1,1,1,1,1
2,21,5,1,1,1,1,1
2,15,2,1,1,1,0,0
2,30,4,1,1,1,1,1
2,29,4,1,1,1,1,1
2,21,3,1,2,2,0,0
2,15,2,2,1,1,0,0
2,42,1,1,1,2,1,1
1,73,1,2,1,2,0,0
2,40,5,1,1,1,1,0
3,28,3,1,1,1,1,0
2,28,5,1,1,1,1,1
2,32,3,2,1,2,0,0
1,42,3,1,1,1,1,0
2,30,3,2,1,1,1,0
2,60,1,2,1,2,0,0
1,72,1,1,2,2,1,1
2,30,2,2,1,1,0,0
1,39,1,1,2,2,0,0
2,44,1,1,1,1,0,0
2,22,2,1,1,1,1,0
2,50,4,1,2,2,0,0
2,19,4,1,1,1,0,0
2,53,1,1,1,2,0,0
1,33,1,1,1,2,1,1
2,30,2,1,1,1,1,0
3,56,4,1,1,1,1,1
2,50,3,1,1,1,0,1
2,33,3,1,1,1,1,1
2,20,1,2,1,1,1,0
2,21,3,1,1,1,1,0
2,59,5,2,2,2,0,0
3,36,5,1,1,1,1,1
2,24,5,1,1,2,0,1
2,46,3,1,1,1,1,0
1,15,3,1,1,1,1,0
2,16,1,2,1,1,0,0
3,48,5,1,1,2,1,0
2,60,3,1,1,1,0,0
2,34,3,1,1,1,1,1
2,25,3,1,1,1,1,1
2,47,4,1,1,1,0,0
2,27,2,1,1,2,1,0
2,26,5,1,1,1,1,0
3,37,5,2,1,1,1,0
2,36,3,1,1,1,1,1
2,34,4,1,1,2,1,0
2,56,3,1,1,1,1,1
2,66,2,1,1,1,1,1
