Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_hat
0.66,0.49918166939443537,0.04744224422442245,0.0197101449275362,-51000099.0,0,1.0
0.68,0.5527950310559007,0.039009900990098934,0.0705555555555556,-48000102.0,1,0.3
0.6733333333333333,0.5564540462253333,0.05498209395407627,0.058550724637681184,-49000101.0,2,0.6
0.7066666666666667,0.5297805642633229,0.01980198019801982,0.044848484848484915,-44000106.0,3,2.0
0.66,0.5618305744888024,0.035966861992321686,0.09230769230769231,-51000099.0,4,0.0
0.7066666666666667,0.5297805642633229,0.022751211291341833,0.046111111111111214,-44000106.0,5,2.0
0.7,0.5676125808724617,0.06930693069306926,0.1038709677419355,-45000105.0,6,1.0
0.6666666666666666,0.5866402116402116,0.019126912691269204,0.07708333333333328,-50000100.0,7,0.0
0.6733333333333333,0.5564540462253333,0.09797854785478544,0.10285714285714287,-49000101.0,8,0.3
0.7,0.5765104460756635,0.04324105879975759,0.07619047619047614,-45000105.0,9,0.6
