Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_hat
0.758095238095238,0.7576697038972745,0.02729819200407435,0.04777777777777781,-254000796.0,0,0.0
0.78,0.7799950112247442,0.00020300281767904327,0.05142857142857149,-231000819.0,1,0.3
0.7409523809523809,0.7406804776709184,0.02328931572629045,0.04206255283178356,-272000778.0,2,0.0
0.7380952380952381,0.7376552603868074,0.003361344537815114,0.06155038759689918,-275000775.0,3,0.0
0.7695238095238095,0.7694560578346834,0.012009803921568696,0.04654646324549233,-242000808.0,4,0.3
0.7638095238095238,0.7634997674959312,0.02066305974444571,0.057413650179607645,-248000802.0,5,0.0
0.7523809523809524,0.7522910806641865,0.028244631185807556,0.06705653021442493,-260000790.0,6,0.3
0.7704761904761904,0.770474316797144,0.01724415793714751,0.053333333333333344,-241000809.0,7,0.3
0.7476190476190476,0.7476078301892783,0.005140996438997791,0.03968441814595658,-265000785.0,8,0.3
0.7590476190476191,0.7590421551509104,0.03525410164065623,0.06641407053980719,-253000797.0,9,0.3
